Region,Date,Oil Moisture,Blood Pressure,Heart Rate,Oxygen Saturation,Telemedicine Consultations,AQI,Water Levels,Temperature,Agriculture Target,Healthcare Target,Environmental Target
Karnataka,2024-01-28,10.97253040386415,146.47802683826728,68.88303482773283,96.64089741398806,0,200.08079556117198,1.8491100611420577,21.250873044734444,0,1,1
Tamil Nadu,2024-01-29,13.060934044068842,138.63425521246785,72.86679958638194,96.04529686853424,8,30.758759468340415,3.0805393911387395,33.28883458974677,1,0,0
Tamil Nadu,2024-01-30,18.797834246191407,131.8181279949495,93.92168358405937,95.42344170937653,6,3.5753948934726276,2.8988845085128516,31.812652896382506,1,1,0
Uttar Pradesh,2024-01-31,10.195189915489419,102.51707340589817,89.15445769079787,97.33346560442205,6,41.9077117808816,2.0335705914814803,31.952806590185105,0,0,0
Tamil Nadu,2024-02-01,10.204298028443414,158.10932665566304,63.81597109252843,97.41066049459921,4,214.7207779232386,4.274372921492432,30.431394521116523,0,1,1
Tamil Nadu,2024-02-02,16.062518721646228,147.9228514992745,77.14808083945735,99.20454355201454,6,291.8381104969332,4.598402379052944,32.61762847549473,1,1,1
Maharashtra,2024-02-03,11.783269113347107,117.56932220205789,61.16679054581058,96.10619348223032,1,294.9194098844461,4.127730319152835,31.1149378435624,0,0,1
Uttar Pradesh,2024-02-04,8.36907234409973,158.79821976153104,79.23560586412036,96.904956368342,3,148.19374474205637,1.7814358433944335,27.050227271494574,0,1,0
Kerala,2024-02-05,11.7865927419904,136.11289537817933,86.49736046804273,99.04202869446846,6,260.80569029770425,1.3469945420055263,20.916454371637265,0,0,1
Uttar Pradesh,2024-02-06,7.112855305696998,134.9453594924348,64.74010494392606,99.11811805374487,2,221.04793672545122,3.4217779412213694,32.764183864282984,0,0,1
Kerala,2024-02-07,7.64580479759335,144.8843907657719,71.55539755636663,96.92305537989384,1,150.31207109538101,1.2283790420395357,31.812072455463838,0,1,1
Maharashtra,2024-02-08,12.475516591092196,148.70618728540825,75.91346502008628,97.29562011643341,9,171.82815988652604,3.691303554232337,24.457586444210904,1,1,1
Karnataka,2024-02-09,11.28388174256822,139.38871643989017,96.78124098624198,96.51642945424642,1,41.16814398506132,3.1216968813089707,15.781573720039104,0,1,0
Tamil Nadu,2024-02-10,18.7226885160215,107.685744781972,99.73020061691855,99.66277439209657,0,281.2984381849776,3.6511429309746544,27.770874548038268,1,1,1
Maharashtra,2024-02-11,10.435908486749497,120.2960503596699,61.79645195982464,95.5932188287079,4,105.57893121953303,3.360683094598976,16.011937073531634,0,0,0
Tamil Nadu,2024-02-12,13.708825254170652,155.685018419563,90.44031693981569,99.66874711500735,5,133.84477693715087,2.690810278108691,33.52559923696815,1,1,0
Karnataka,2024-02-13,14.483964318792955,113.47693671063112,74.86896265609373,98.41933225917671,5,201.49806929936963,1.803508720560913,34.23262513250614,1,0,1
Karnataka,2024-02-14,5.196416848825004,122.3300214302508,75.6983274491792,97.65786076343366,8,100.17074145796619,2.222808543241954,18.789802917992084,0,0,0
Maharashtra,2024-02-15,14.953060580250659,125.92461297665176,90.17059893388091,95.16329530392248,3,76.27774829667916,3.098002296875906,28.5277875610982,1,1,0
Karnataka,2024-02-16,7.670539503046271,126.36429938166714,96.73705728581635,97.37798095911005,0,189.31481798106617,3.6074723745904236,16.845380091255254,0,1,1
Kerala,2024-02-17,19.416054762041828,136.77637494967152,98.03714378010193,97.03874052501367,5,7.495224684554835,4.1179320675381135,29.590338571462443,1,1,1
Karnataka,2024-02-18,7.2299409162966946,156.58455026468246,83.08490344153283,95.80609405987562,4,216.21753360800366,4.068682873796243,21.94575332305349,0,1,1
Tamil Nadu,2024-02-19,11.219361855905355,114.44156270995029,74.28484637202011,98.28204801750329,9,154.20701096295292,4.890754973044341,28.621002234608905,0,0,1
Tamil Nadu,2024-02-20,6.280245021179658,107.29008257805508,91.50196343435117,99.85575453684143,5,181.72611915628033,2.1433657946536377,22.457530184043556,0,1,1
Tamil Nadu,2024-02-21,19.95311377768921,111.84822939159623,70.04005533049201,97.81094405532262,2,189.56404777406553,1.2844428328537472,17.911350196664714,1,0,1
Tamil Nadu,2024-02-22,12.532925154968638,153.21549401255618,82.56296115334071,98.57376638221973,1,158.11504694776912,2.382627742167437,23.122199610051158,1,1,1
Kerala,2024-02-23,13.930775259800656,138.74864875931235,74.34313846099492,95.34225226283009,5,174.7601332322208,3.9731779008963066,17.2534705326958,1,0,1
Uttar Pradesh,2024-02-24,6.006147160826412,117.15440735434962,86.26524294831505,97.08833497908498,0,205.13646026696236,2.7524466041331808,26.537665499538917,0,0,1
Maharashtra,2024-02-25,16.249407055987668,148.95681633811705,69.61595651574028,95.58179242582248,6,225.93565415390225,4.271153722357678,15.819030642989595,1,1,1
Tamil Nadu,2024-02-26,8.148583896433786,151.68219978180616,67.66371782939304,98.06397917768255,6,218.23571738583615,3.19730546074406,25.546393591997195,0,1,1
Karnataka,2024-02-27,18.470814341610705,150.7908603214167,96.72956346701748,99.69241079107077,9,260.8849373196785,4.719166890522012,32.727372941910815,1,1,1
Tamil Nadu,2024-02-28,8.077094607230109,155.13559201837327,64.07214731798148,98.30888866235819,6,56.833029950220826,4.791453767996275,31.757465402387254,0,1,1
Karnataka,2024-02-29,7.860315809954999,115.1344612104017,80.23831630939726,95.3840152415721,9,120.34439084753926,1.2772180240749949,32.655633992529935,0,0,0
Karnataka,2024-03-01,5.548245017721423,145.3025157247767,68.83411131852036,96.77333102492541,0,284.3388198043371,2.8256537588496973,33.44097604254215,0,1,1
Tamil Nadu,2024-03-02,12.081004176649989,127.6323698364484,61.5571985330267,97.75331689720426,3,118.97717231589891,3.438756244998272,17.090557757513885,1,0,0
Kerala,2024-03-03,13.472616998939246,150.5199131734037,61.44075273165706,97.01603878066626,6,37.4610230717768,2.023490163248851,17.574944057514262,1,1,0
Karnataka,2024-03-04,5.985629591425285,143.7094406296968,67.00887088423309,99.16822005237586,8,157.63353790865386,2.628307117515921,26.140136126262572,0,1,1
Karnataka,2024-03-05,16.63291425042516,146.58684678998347,94.67081418024,99.07335502354995,4,32.84729176633865,3.710726164470793,32.87945336848858,1,1,0
Tamil Nadu,2024-03-06,11.799332521220414,139.36971026086428,71.29914975908106,98.05915510051611,1,60.85597161835956,1.9069369075934457,34.486989130480616,0,0,0
Karnataka,2024-03-07,12.8658540399137,110.6457261681824,98.01836682301183,96.86728972566353,6,299.49562697128704,3.4079254118978097,15.925238346799999,1,1,1
Karnataka,2024-03-08,11.611441204073422,132.7016151338163,83.26489171956774,96.27668186881623,9,162.4087915188396,3.7897913126572242,22.115481684013204,0,0,1
Tamil Nadu,2024-03-09,11.01144591312989,159.0801843714705,77.46456759075065,95.52937159106564,0,85.2175167121287,1.361985244383467,19.257885093199867,0,1,0
Tamil Nadu,2024-03-10,13.394604969623268,156.24328398982715,83.20355338677818,96.77448841743276,6,298.4324863721718,2.990117264109811,30.119316978624962,1,1,1
Maharashtra,2024-03-11,7.328603688960688,102.5904241478207,80.66793540905071,97.06586258603859,5,289.96767556654294,2.052320119696763,27.80387737074064,0,0,1
Kerala,2024-03-12,7.728921957429067,109.88888894376623,90.351050150293,98.37911462552037,6,132.22171232527907,3.8975454239921783,17.39776062967691,0,1,0
Kerala,2024-03-13,17.92678431520276,107.90372640727371,71.29984263891409,98.29079912148786,9,78.12093263637252,1.758222034147762,24.67044134729943,1,0,0
Karnataka,2024-03-14,19.19173193200449,143.55879459911773,74.1220156640121,95.35054069820629,2,251.519891427657,4.5689516621524255,28.708810447425826,1,1,1
Kerala,2024-03-15,10.599639744196294,149.0671197914167,95.76377210133003,96.9762965771558,2,214.68621509153573,2.7237653460733076,30.580107878480753,0,1,1
Karnataka,2024-03-16,9.061170097153306,112.81068197864032,97.85826052601621,95.9088943360868,6,206.0824305010531,1.792012121230214,15.401054195680171,0,1,1
Maharashtra,2024-03-17,14.659993148585237,130.35116157710974,95.70232909945898,95.78406352658403,1,267.93412239674177,2.7520871854013174,32.8093914796778,1,1,1
Tamil Nadu,2024-03-18,11.131012566471446,150.442181680672,76.77791975829254,99.13651074868623,0,206.8251401613974,2.6349750512341115,26.38562765901049,0,1,1
Tamil Nadu,2024-03-19,5.380795334905173,143.96809268597502,91.21462012027527,95.20957608358128,8,85.13938291246474,2.715675837974841,31.238182299198094,0,1,0
Tamil Nadu,2024-03-20,7.342288960492855,132.5342323295109,79.05342933204395,97.0959143795106,8,208.15894856271967,3.3422451739897876,31.158760600285667,0,0,1
Kerala,2024-03-21,15.739583432710964,135.42086142752638,79.9015940858441,95.84101827883259,6,91.74405338509919,3.08469489965415,18.79705320541938,1,0,0
Maharashtra,2024-03-22,14.88385912865227,130.5016328149768,68.18720436229135,99.39665107839237,6,227.77169389709852,1.5991085267236107,17.20344240507266,1,0,1
Kerala,2024-03-23,5.406439887552253,117.85290707912924,83.64521213034067,97.78520256637518,2,185.9243563474698,1.2623162905865453,29.42574537947653,0,0,1
Kerala,2024-03-24,8.329582428994241,133.90131957154097,67.44543591013392,96.15690318188425,9,23.223465595425175,3.917661794906162,18.12853837643238,0,0,0
Maharashtra,2024-03-25,8.46612194882107,141.33311812300545,73.26258796268775,97.51213643583188,1,153.8506087305426,3.238869743713254,31.998749828094475,0,1,1
Maharashtra,2024-03-26,15.078391153980926,152.39937495164847,94.20120806479741,98.65743179851557,6,102.99029075872228,2.436003072317055,29.523789677242103,1,1,0
Maharashtra,2024-03-27,5.295658066315462,138.1774812387549,68.2830323684342,99.79059004459717,8,98.57118981968827,4.2334312899922955,31.836507287305253,0,0,1
Maharashtra,2024-03-28,6.561628729768607,145.66729222258948,62.84633140693731,96.1022300212271,0,180.6768907131772,2.552233897043828,20.98025359218692,0,1,1
Tamil Nadu,2024-03-29,16.99874128059784,109.60429809727438,62.76030370451265,99.43090886064672,3,96.69744734082747,4.1838603584024305,21.331961208211382,1,0,1
Uttar Pradesh,2024-03-30,7.678169930815004,127.6934484651874,97.63138082012432,99.67152057083746,5,233.0681244614618,2.2230245100494987,28.42443112692635,0,1,1
Uttar Pradesh,2024-03-31,14.79119161777812,100.5598971896256,80.2768175184734,99.58210272266034,6,21.237430803352332,1.291381190180799,15.628919101178951,1,0,0
Maharashtra,2024-04-01,8.572741715700898,114.80073187129739,76.37648287268073,98.17707178430955,9,198.11647571874764,4.730558775199716,29.529934926748453,0,0,1
Uttar Pradesh,2024-04-02,6.491620891390177,143.5877029067803,92.43514324031673,98.14910327217353,6,242.75844109702237,2.5782045171254926,31.715661417092026,0,1,1
Uttar Pradesh,2024-04-03,8.647582864991811,159.5085970809618,93.43303711642065,97.01605316591912,9,201.84950697612902,4.1707702913975115,23.30327173208208,0,1,1
Maharashtra,2024-04-04,15.834003977834888,105.95068597523296,73.28764132462419,98.76198941151894,1,149.1687585059987,2.116576532889218,30.29757660176937,1,0,0
Uttar Pradesh,2024-04-05,17.835447021594284,124.0896589516773,87.74472229895181,97.65647009175466,3,285.09210412085434,3.585460448494624,18.492218339645238,1,0,1
Kerala,2024-04-06,17.453297968504874,148.00425812194956,90.84491263407546,98.38719035614147,4,89.98154693941908,4.4932434930309135,21.445207876389695,1,1,1
Karnataka,2024-04-07,10.957752944276823,112.24213807773393,86.18602747463818,97.14228951924397,0,5.750366257493333,1.1665760893599213,34.48609926220955,0,0,0
Karnataka,2024-04-08,15.021277048559693,133.30509695813717,66.06380299200397,98.65748232021569,0,129.59681143903225,4.3225430587443565,34.726563471202525,1,0,1
Maharashtra,2024-04-09,8.074764431237314,143.9842777617805,95.03532334068228,99.12235758802275,9,9.903580770098175,3.2853320198877145,25.25210106043176,0,1,0
Tamil Nadu,2024-04-10,9.397215953915198,136.95912701561073,81.56378210944035,95.73218128301409,2,286.1810257579226,3.429887015634277,33.68539582927754,0,0,1
Maharashtra,2024-04-11,18.445037277816795,111.28148407692497,71.29889705480015,99.16464857787113,9,62.97541372441545,3.0926320032239305,25.45461356113709,1,0,0
Tamil Nadu,2024-04-12,5.19502885266104,121.32307412114437,77.00912741750776,97.70148265895153,2,236.67810718466384,4.49790041313457,20.831762563223144,0,0,1
Karnataka,2024-04-13,6.282627962817021,147.02750706912383,61.502843615956294,99.22332954545112,7,232.37162495230947,1.1737334289425498,20.33798576197544,0,1,1
Maharashtra,2024-04-14,8.11829382719041,133.253590847921,65.11467204889671,97.15650853170507,8,65.31866990488005,2.0441135661433925,33.59011410736298,0,0,0
Kerala,2024-04-15,5.397983058107296,100.31377681257476,90.62187002063443,96.89520242691518,0,186.3679591440502,4.503050155436622,18.44892777947718,0,1,1
Uttar Pradesh,2024-04-16,7.7215315263469595,145.65944560168563,60.00046539021464,99.57530366258611,1,14.423690545935063,4.009382810127824,26.592649164036363,0,1,1
Tamil Nadu,2024-04-17,13.745623414545383,102.11868129641434,76.66263313929169,96.255846337742,9,145.07237571116025,1.0705806407144234,26.110501361254393,1,0,0
Uttar Pradesh,2024-04-18,11.32136825888747,144.74402696387392,80.90040724342353,99.22106162643071,1,4.394138181746021,3.0680251328388346,29.7924336930599,0,1,0
Uttar Pradesh,2024-04-19,18.390075666154623,112.14883360991425,62.185376800038895,97.42010286254703,3,276.34316405425255,3.1182907228506993,24.984858150495494,1,0,1
Maharashtra,2024-04-20,17.261653426076613,157.48440880716282,98.92312651889331,97.5704772127563,1,292.8258072598715,2.6035285405116415,20.445713214162684,1,1,1
Uttar Pradesh,2024-04-21,10.127260275468139,122.07644507812506,69.04501324998688,96.54234140744742,6,66.68482999157558,2.189573328247959,18.38792999263157,0,0,0
Kerala,2024-04-22,8.891351501469387,119.61589698028475,72.16794878545123,97.86521100309508,8,62.431810378911834,3.7268994016493684,27.416376070117835,0,0,0
Uttar Pradesh,2024-04-23,10.695386122509003,108.93328301994669,72.1577004902011,96.62605598138106,6,226.11605296863888,1.8311618588190153,29.37981513706466,0,0,1
Maharashtra,2024-04-24,13.854424137722116,118.3362529294129,69.216666484694,95.19634707120827,5,76.01381964880034,4.195794248286824,26.390425573640652,1,0,1
Kerala,2024-04-25,9.020954612343143,152.59904570969204,60.058952883452456,96.35999302672178,9,268.5229677485535,4.212148643069887,29.767025542423895,0,1,1
Karnataka,2024-04-26,14.36223361773701,159.78006025763483,89.17379176351986,95.03189521703295,0,172.17874083689466,2.661045750291282,17.830424048999202,1,1,1
Uttar Pradesh,2024-04-27,11.141174782868607,122.0985718304109,98.67381999197141,99.89177393528428,9,105.23328690309364,2.1341920436385906,32.64940389886271,0,1,0
Maharashtra,2024-04-28,13.280707712779703,126.91663785727255,68.9717393314018,99.82873604909874,8,249.808123904826,2.135512726362853,26.64791016817006,1,0,1
Karnataka,2024-04-29,11.54189793702975,143.32425629216422,86.5218876721369,96.97577648736153,4,148.02201012401855,2.9291652959848404,17.536878537851944,0,1,0
Karnataka,2024-04-30,9.416986393128765,153.17174682790449,89.67585307834861,98.64185427169824,4,273.4898741125427,3.878316898997435,24.2385040841147,0,1,1
Tamil Nadu,2024-05-01,19.22679960443235,135.58266005120706,93.937015163621,96.72903049205212,5,278.4042710188143,2.435474763975435,31.89583475731823,1,1,1
Kerala,2024-05-02,16.454086912396413,123.49154189066977,76.90516788054437,98.35546578542989,8,49.6260456385228,3.440173381831006,32.951243869063205,1,0,0
Uttar Pradesh,2024-05-03,7.101697636496788,124.75731045091743,72.11723622561718,99.0271502152299,7,0.6970218395790817,2.5299378423303773,20.292990099975228,0,0,0
Maharashtra,2024-05-04,18.027019638468694,141.7370887898084,73.01180536092124,99.73378122346121,7,295.1792820427207,2.2180927566055333,29.22531649420906,1,1,1
Tamil Nadu,2024-05-05,12.311467973742705,100.19309581625672,88.50485332394051,97.00106137924836,7,271.84126083824384,1.0994380636631766,16.999704949675532,1,0,1
Kerala,2024-05-06,18.418283403411372,137.17536024759045,92.67117866022545,98.91648991478024,0,16.633570711152423,1.0156564229415626,15.670917428243156,1,1,0
Tamil Nadu,2024-05-07,16.997828839209728,121.32958062648144,67.26455871026411,96.3296422531606,0,249.91027918232098,1.9088307113280178,26.207979076398857,1,0,1
Kerala,2024-05-08,11.378202567038501,147.65183987662505,74.8376403263106,99.95166151896824,7,137.341479767762,2.6256251472039818,28.896551586562516,0,1,0
Kerala,2024-05-09,5.337039624801761,105.57943838938793,96.077607869966,95.12884799382175,4,77.68848150749257,4.405044669448241,30.915734623530042,0,1,1
Uttar Pradesh,2024-05-10,9.030160390774192,135.29213601690344,92.26774078778956,98.0176440325056,8,263.62395710307896,4.193936971721701,21.804324769106692,0,1,1
Kerala,2024-05-11,13.124513219913004,128.85837339316743,99.39433611049904,98.29752990825664,1,59.00016971709218,2.0686610503519596,15.13050820857774,1,1,0
Tamil Nadu,2024-05-12,14.50217329739221,138.53953155431364,90.16993038728323,98.44022778537064,8,284.1899998260201,1.9781617719371973,24.590384742227076,1,1,1
Kerala,2024-05-13,8.868315281498035,103.8912156689781,75.72780804111689,95.60193789394545,7,61.68644630980232,1.9092882842801098,15.31707090747134,0,0,0
Uttar Pradesh,2024-05-14,7.090341111092362,134.79902724568788,83.62551335978551,99.69264891736566,8,184.10495631862307,2.356949362115468,16.839690213416,0,0,1
Uttar Pradesh,2024-05-15,17.523953551989486,133.68907527757142,86.44057016989281,95.90591639525042,3,66.92590035869246,2.9927948782467415,21.533780450634968,1,0,0
Tamil Nadu,2024-05-16,19.766032710553283,133.63960566497025,63.138232652684955,98.1137670161992,0,163.70059949059043,2.754671088126302,23.743440991203542,1,0,1
Karnataka,2024-05-17,12.885352734540287,136.2092599957873,81.7798783641546,96.11338039561542,0,205.1925389745424,1.873092795125975,20.589388824592973,1,0,1
Karnataka,2024-05-18,7.575189287724553,140.58807623358172,88.37283313890438,96.53608208510636,4,57.06837924604127,1.5218056397744721,26.637305330094158,0,1,0
Kerala,2024-05-19,9.084609897790534,148.29933998084618,66.69285216004242,97.73229270864063,1,156.26573481020375,1.0503112499447815,16.106995784361903,0,1,1
Maharashtra,2024-05-20,5.275860148212001,116.18924320769287,91.22526869702229,97.08596709282288,7,140.71792331703568,1.6158529546660154,17.891594204791694,0,1,0
Kerala,2024-05-21,18.714482098407487,149.50296461080373,83.35091122056447,95.80112800488253,9,21.31122642100237,3.821425480776473,28.90516801510867,1,1,0
Tamil Nadu,2024-05-22,6.766266243352117,129.8953409358072,98.08887142790378,95.85468201210423,4,245.49234530259088,1.9745542773823317,17.842817071958354,0,1,1
Tamil Nadu,2024-05-23,13.647747132713803,104.62349674805986,61.69689192827567,97.090723940814,4,100.70472019285252,2.8744072404860392,27.79550403140845,1,0,0
Tamil Nadu,2024-05-24,9.11082831030809,103.51305575463876,70.61304550221868,98.7864148913775,1,172.37465926556388,3.365204595692979,16.09369241506731,0,0,1
Tamil Nadu,2024-05-25,13.3126700377369,120.05429912176365,84.06215517199297,99.48982323423894,6,154.43527047994033,4.547363611326428,23.147645582382808,1,0,1
Tamil Nadu,2024-05-26,14.771305825277963,147.09381862668806,71.86239648823722,95.42063831129691,7,153.97815137113267,4.555420393573678,18.548189402423645,1,1,1
Uttar Pradesh,2024-05-27,17.446127055608024,142.46085608445495,88.57696656284969,96.96551953779701,9,32.16671826254623,3.982934934725436,17.19272565070373,1,1,0
Karnataka,2024-05-28,8.09631907640905,147.31689788034438,90.36021130087724,95.50122781861438,0,127.04460277479983,1.1406279681940057,26.340655670024553,0,1,0
Tamil Nadu,2024-05-29,5.164937429877207,131.03614338649658,64.10063856265897,95.082962403163,1,135.71002776197108,3.3002816763416596,33.56671544011243,0,0,0
Maharashtra,2024-05-30,7.053284451032109,126.41193987732943,80.55417856827071,98.30859341321978,9,220.09285210933456,4.146333883326026,16.095740958470977,0,0,1
Maharashtra,2024-05-31,18.500279627721575,108.84715160237704,80.35562222364223,98.01224720983294,3,252.00564957620955,1.0691521790534528,23.431084964360686,1,0,1
Maharashtra,2024-06-01,18.108351163437728,119.6915652165587,74.77123080862164,95.81509556907443,4,163.49468343000538,3.198738454626313,29.150708754908873,1,0,1
Maharashtra,2024-06-02,13.961196532554624,126.04116197043251,97.31699450278688,96.16906416546531,1,26.034886219497146,4.431056583144118,24.253756633756538,1,1,1
Uttar Pradesh,2024-06-03,14.0077529065048,105.31602578077704,93.10025279492885,95.11853876822259,0,71.05484117896388,2.8964083033690677,31.129918922104906,1,1,0
Maharashtra,2024-06-04,14.975550118193832,113.23671716267268,87.88837527638547,99.17473602847201,8,49.48020805581932,1.0164248115897938,18.592906317282633,1,0,0
Tamil Nadu,2024-06-05,7.630569179351744,135.89351764382434,88.5730654293999,99.87345298024276,0,37.38451895673742,1.0440534333424298,34.19188410055481,0,0,0
Kerala,2024-06-06,18.7161791888744,144.1397868543514,78.46864575252476,95.67729768397345,3,109.76978958534227,2.666544149655002,22.70325255545081,1,1,0
Maharashtra,2024-06-07,11.281557873381097,159.90085068357698,96.83978084386302,96.1573760688265,1,68.81805064631462,1.6200346696670183,21.831392658885502,0,1,0
Uttar Pradesh,2024-06-08,10.747077923742463,155.98679988061346,87.78381709013141,99.34204761973467,3,65.49093354345369,3.6578026283730383,32.49211589006332,0,1,0
Uttar Pradesh,2024-06-09,12.783765579242562,138.5539119721115,89.15924246623266,99.63231898978093,7,16.407952372880295,3.835197059624616,26.27734063783533,1,0,0
Maharashtra,2024-06-10,5.704489501625826,125.27488319764433,94.4676361514938,97.09813691403406,7,5.301013438630164,1.7115191818425144,25.32888683805643,0,1,0
Kerala,2024-06-11,7.494250531341191,138.17064188249395,70.96286357368764,95.25311236134537,8,30.830472794934536,4.55413315409794,29.53955839056862,0,0,1
Maharashtra,2024-06-12,16.070504246395558,147.13909708481393,92.28283615466812,95.19695916846409,4,51.65924382708992,2.7676313799157035,26.59668476562181,1,1,0
Uttar Pradesh,2024-06-13,6.241980018876897,107.10017145540324,67.80962411825968,97.86974933034506,6,129.29511865446094,1.571383630367695,18.250312895142308,0,0,0
Karnataka,2024-06-14,14.047281641995824,124.59429338177729,73.81367808979552,96.9644755444659,2,153.1560783896534,4.057006392277582,28.483952457298592,1,0,1
Tamil Nadu,2024-06-15,8.680236645219814,150.38813713813704,73.4244181707937,95.14326213788827,9,42.17757545200968,4.159898000067091,17.669377585642568,0,1,1
Uttar Pradesh,2024-06-16,10.839434210629648,123.02997711598263,99.14101873556562,97.91626196156278,3,127.43500245725589,3.55718189066183,31.11715410668124,0,1,0
Maharashtra,2024-06-17,9.330406051560498,134.3123362736312,94.26148894991707,95.05651268294511,9,102.52465269777818,4.413862212810212,34.79473195424542,0,1,1
Tamil Nadu,2024-06-18,10.335090746974238,135.2661616517319,88.04679446361038,98.93685979074637,8,55.027093049386814,3.9494918881226853,22.547752499495527,0,0,0
Maharashtra,2024-06-19,15.785688577763683,111.06857518801836,89.0822704646156,96.53216411351686,9,2.0522244445090654,4.528822948907962,23.895117964040253,1,0,1
Maharashtra,2024-06-20,9.456825734347625,121.7341264991373,82.48291177610284,95.20129001504615,9,140.1053599565225,2.735552193941918,15.928673109656247,0,0,0
Karnataka,2024-06-21,13.496069604453458,120.07067732451593,97.88362668434075,97.94176110491577,0,205.6955247795598,3.99038851239777,15.274663761651565,1,1,1
Tamil Nadu,2024-06-22,12.140756032986495,101.57180251192389,79.85035011529446,96.98842207216528,1,67.8832002431421,4.9990062537161775,33.42838669752655,1,0,1
Tamil Nadu,2024-06-23,14.955067480439721,101.45150583348132,75.22070839479578,99.86900206678575,4,39.54204896900381,3.899724790078477,17.57248120878384,1,0,0
